CÓDIGO,DENOMINAÇÃO ATIVIDADE,ATÉ 200 M²,200M² A 400M²,ACIMA DE 400M²
02.10-1-99,Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas,Alto,Alto,Alto
02.20-9-01,Extração de madeira em florestas nativas,Alto,Alto,Alto
02.20-9-02,Produção de carvão vegetal - florestas nativas,Alto,Alto,Alto
02.20-9-03,Coleta de castanha-do-pará em florestas nativas,Alto,Alto,Alto
02.20-9-04,Coleta de látex em florestas nativas,Alto,Alto,Alto
02.20-9-05,Coleta de palmito em florestas nativas,Alto,Alto,Alto
02.20-9-06,Conservação de florestas nativas,Alto,Alto,Alto
02.20-9-99,Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,Alto,Alto,Alto
02.30-6-00,Atividades de apoio à produção florestal,Baixo,Médio,Alto
03.11-6-01,Pesca de peixes em água salgada,Alto,Alto,Alto
03.11-6-02,Pesca de crustáceos e moluscos em água salgada,Alto,Alto,Alto
03.11-6-03,Coleta de outros produtos marinhos,Alto,Alto,Alto
03.11-6-04,Atividades de apoio à pesca em água salgada,Alto,Alto,Alto
03.12-4-01,Pesca de peixes em água doce,Alto,Alto,Alto
03.12-4-02,Pesca de crustáceos e moluscos em água doce,Alto,Alto,Alto
03.12-4-03,Coleta de outros produtos aquáticos de água doce,Alto,Alto,Alto
03.12-4-04,Atividades de apoio à pesca em água doce,Baixo,Médio,Alto
03.21-3-01,Criação de peixes em água salgada e salobra,Alto,Alto,Alto
03.21-3-02,Criação de camarões em água salgada e salobra,Alto,Alto,Alto
03.21-3-03,Criação de ostras e mexilhões em água salgada e salobra,Alto,Alto,Alto
03.21-3-04,Criação de peixes ornamentais em água salgada e salobra,Alto,Alto,Alto
03.21-3-05,Atividades de apoio à aquicultura em água salgada e salobra,Baixo,Médio,Alto
03.21-3-99,Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,Alto,Alto,Alto
03.22-1-01,Criação de peixes em água doce,Alto,Alto,Alto
03.22-1-02,Criação de camarões em água doce,Alto,Alto,Alto
03.22-1-03,Criação de ostras e mexilhões em água doce,Alto,Alto,Alto
03.22-1-04,Criação de peixes ornamentais em água doce,Alto,Alto,Alto
03.22-1-05,Ranicultura,Alto,Alto,Alto
03.22-1-06,Criação de jacaré,Alto,Alto,Alto
03.22-1-07,Atividades de apoio à aquicultura em água doce,Baixo,Médio,Alto
03.22-1-99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,Alto,Alto,Alto
05.00-3-01,Extração de carvão mineral,Alto,Alto,Alto
05.00-3-02,Beneficiamento de carvão mineral,Alto,Alto,Alto
06.00-0-01,Extração de petróleo e gás natural,Alto,Alto,Alto
06.00-0-02,Extração e beneficiamento de xisto,Alto,Alto,Alto
06.00-0-03,Extração e beneficiamento de areias betuminosas,Alto,Alto,Alto
07.10-3-01,Extração de minério de ferro,Alto,Alto,Alto
07.10-3-02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",Alto,Alto,Alto
07.21-9-01,Extração de minério de alumínio,Alto,Alto,Alto
07.21-9-02,Beneficiamento de minério de alumínio,Alto,Alto,Alto
07.22-7-01,Extração de minério de estanho,Alto,Alto,Alto
07.22-7-02,Beneficiamento de minério de estanho,Alto,Alto,Alto
07.23-5-01,Extração de minério de manganês,Alto,Alto,Alto
07.23-5-02,Beneficiamento de minério de manganês,Alto,Alto,Alto
07.24-3-01,Extração de minério de metais preciosos,Alto,Alto,Alto
07.24-3-02,Beneficiamento de minério de metais preciosos,Alto,Alto,Alto
07.25-1-00,Extração de minerais radioativos,Alto,Alto,Alto
07.29-4-01,Extração de minérios de nióbio e titânio,Alto,Alto,Alto
07.29-4-02,Extração de minério de tungstênio,Alto,Alto,Alto
07.29-4-03,Extração de minério de níquel,Alto,Alto,Alto
07.29-4-04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",Alto,Alto,Alto
07.29-4-05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",Alto,Alto,Alto
08.10-0-01,Extração de ardósia e beneficiamento associado,Alto,Alto,Alto
08.10-0-02,Extração de granito e beneficiamento associado,Alto,Alto,Alto
08.10-0-03,Extração de mármore e beneficiamento associado,Alto,Alto,Alto
08.10-0-04,Extração de calcário e dolomita e beneficiamento associado,Alto,Alto,Alto
08.10-0-05,Extração de gesso e caulim,Alto,Alto,Alto
08.10-0-06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",Alto,Alto,Alto
08.10-0-07,Extração de argila e beneficiamento associado,Alto,Alto,Alto
08.10-0-08,Extração de saibro e beneficiamento associado,Alto,Alto,Alto
08.10-0-09,Extração de bas e beneficiamento associado,Alto,Alto,Alto
08.10-0-10,Beneficiamento de gesso e caulim associado à extração,Alto,Alto,Alto
08.10-0-99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,Alto,Alto,Alto
08.91-6-00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",Alto,Alto,Alto
08.92-4-01,Extração de sal marinho,Alto,Alto,Alto
08.92-4-02,Extração de sal-gema,Alto,Alto,Alto
08.92-4-03,Refino e outros tratamentos do sal,Alto,Alto,Alto
08.93-2-00,Extração de gemas (pedras preciosas e semipreciosas),Alto,Alto,Alto
08.99-1-01,Extração de grafita,Alto,Alto,Alto
08.99-1-02,Extração de quartzo,Alto,Alto,Alto
08.99-1-03,Extração de amianto,Alto,Alto,Alto
08.99-1-99,Extração de outros minerais não metálicos não especificados anteriormente,Alto,Alto,Alto
09.10-6-00,Atividades de apoio à extração de petróleo e gás natural,Baixo,Médio,Alto
09.90-4-01,Atividades de apoio à extração de minério de ferro,Baixo,Médio,Alto
09.90-4-02,Atividades de apoio à extração de minerais metálicos não ferrosos,Baixo,Médio,Alto
09.90-4-03,Atividades de apoio à extração de minerais não metálicos,Baixo,Médio,Alto
10.11-2-01,Frigorífico - abate de bovinos,Alto,Alto,Alto
10.11-2-02,Frigorífico - abate de equinos,Alto,Alto,Alto
10.11-2-03,Frigorífico - abate de ovinos e caprinos,Alto,Alto,Alto
10.11-2-04,Frigorífico - abate de bufalinos,Alto,Alto,Alto
10.11-2-05,"Matadouro - abate de reses sob contrato, exceto abate de suínos",Alto,Alto,Alto
10.12-1-01,Abate de aves,Alto,Alto,Alto
10.12-1-02,Abate de pequenos animais,Alto,Alto,Alto
10.12-1-03,Frigorífico - abate de suínos,Alto,Alto,Alto
10.12-1-04,Matadouro - abate de suínos sob contrato,Alto,Alto,Alto
10.13-9-01,Fabricação de produtos de carne,Médio,Alto,Alto
10.13-9-02,Preparação de subprodutos do abate,Médio,Médio,Alto
10.20-1-01,"Preservação de peixes, crustáceos e moluscos",Alto,Alto,Alto
10.20-1-02,"Fabricação de conservas de peixes, crustáceos e moluscos",Médio,Alto,Alto
10.31-7-00,Fabricação de conservas de frutas,Médio,Alto,Alto
10.32-5-01,Fabricação de conservas de palmito,Médio,Alto,Alto
10.32-5-99,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",Médio,Alto,Alto
10.33-3-01,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",Médio,Alto,Alto
10.33-3-02,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",Médio,Alto,Alto
10.41-4-00,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",Médio,Alto,Alto
10.42-2-00,"Fabricação de óleos vegetais refinados, exceto óleo de milho",Médio,Alto,Alto
10.43-1-00,Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,Médio,Alto,Alto
10.51-1-00,Preparação do leite,Médio,Médio,Alto
10.52-0-00,Fabricação de laticínios,Médio,Alto,Alto
10.53-8-00,Fabricação de sorvetes e outros gelados comestíveis,Médio,Alto,Alto
10.61-9-01,Beneficiamento de arroz,Médio,Médio,Alto
10.61-9-02,Fabricação de produtos do arroz,Médio,Alto,Alto
10.62-7-00,Moagem de trigo e fabricação de derivados,Médio,Médio,Alto
10.63-5-00,Fabricação de farinha de mandioca e derivados,Médio,Alto,Alto
10.64-3-00,"Fabricação de farinha de milho e derivados, exceto óleos de milho",Médio,Alto,Alto
10.65-1-01,Fabricação de amidos e féculas de vegetais,Médio,Alto,Alto
10.65-1-02,Fabricação de óleo de milho em bruto,Médio,Alto,Alto
10.65-1-03,Fabricação de óleo de milho refinado,Médio,Alto,Alto
10.66-0-00,Fabricação de alimentos para animais,Médio,Alto,Alto
10.69-4-00,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,Médio,Médio,Alto
10.71-6-00,Fabricação de açúcar em bruto,Médio,Alto,Alto
10.72-4-01,Fabricação de açúcar de cana refinado,Médio,Alto,Alto
10.72-4-02,Fabricação de açúcar de cereais (dextrose) e de beterraba,Médio,Alto,Alto
10.81-3-01,Beneficiamento de café,Médio,Médio,Alto
10.81-3-02,Torrefação e moagem de café,Médio,Médio,Alto
10.82-1-00,Fabricação de produtos à base de café,Médio,Alto,Alto
10.91-1-01,Fabricação de produtos de panificação industrial,Médio,Alto,Alto
10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Médio,Alto,Alto
10.92-9-00,Fabricação de biscoitos e bolachas,Médio,Alto,Alto
10.93-7-01,Fabricação de produtos derivados do cacau e de chocolates,Médio,Alto,Alto
10.93-7-02,"Fabricação de frutas cristalizadas, balas e semelhantes",Médio,Alto,Alto
10.94-5-00,Fabricação de massas alimentícias,Médio,Alto,Alto
10.95-3-00,"Fabricação de especiarias, molhos, temperos e condimentos",Médio,Alto,Alto
10.96-1-00,Fabricação de alimentos e pratos prontos,Médio,Alto,Alto
10.99-6-01,Fabricação de vinagres,Médio,Alto,Alto
10.99-6-02,Fabricação de pós-alimentícios,Médio,Alto,Alto
10.99-6-03,Fabricação de fermentos e leveduras,Médio,Alto,Alto
10.99-6-04,Fabricação de gelo comum,Alto,Alto,Alto
10.99-6-05,"Fabricação de produtos para infusão (chá, mate, etc.)",Médio,Alto,Alto
10.99-6-06,Fabricação de adoçantes naturais e artificiais,Médio,Alto,Alto
10.99-6-07,Fabricação de alimentos dietéticos e complementos alimentares,Médio,Alto,Alto
10.99-6-99,Fabricação de outros produtos alimentícios não especificados anteriormente,Médio,Alto,Alto
11.11-9-01,Fabricação de aguardente de cana-de-açúcar,Médio,Alto,Alto
11.11-9-02,Fabricação de outras aguardentes e bebidas destiladas,Médio,Alto,Alto
11.12-7-00,Fabricação de vinho,Médio,Alto,Alto
11.13-5-01,"Fabricação de malte, inclusive malte uísque",Médio,Alto,Alto
11.13-5-02,Fabricação de cervejas e chopes,Médio,Alto,Alto
11.21-6-00,Fabricação de águas envasadas,Médio,Alto,Alto
11.22-4-01,Fabricação de refrigerantes,Médio,Alto,Alto
11.22-4-02,Fabricação de chá mate e outros chás prontos para consumo,Médio,Alto,Alto
11.22-4-03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",Médio,Alto,Alto
11.22-4-04,Fabricação de bebidas isotônicas,Médio,Alto,Alto
11.22-4-99,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,Médio,Alto,Alto
12.10-7-00,Processamento industrial do fumo,Alto,Alto,Alto
12.20-4-01,Fabricação de cigarros,Médio,Alto,Alto
12.20-4-02,Fabricação de cigarrilhas e charutos,Médio,Alto,Alto
12.20-4-03,Fabricação de filtros para cigarros,Médio,Alto,Alto
12.20-4-99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",Médio,Alto,Alto
13.11-1-00,Preparação e fiação de fibras de algodão,Baixo,Alto,Alto
13.12-0-00,"Preparação e fiação de fibras têxteis naturais, exceto algodão",Baixo,Alto,Alto
13.13-8-00,Fiação de fibras artificiais e sintéticas,Baixo,Médio,Alto
13.14-6-00,Fabricação de linhas para costurar e bordar,Médio,Alto,Alto
13.21-9-00,Tecelagem de fios de algodão,Baixo,Médio,Alto
13.22-7-00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",Baixo,Médio,Alto
13.23-5-00,Tecelagem de fios de fibras artificiais e sintéticas,Baixo,Médio,Alto
13.30-8-00,Fabricação de tecidos de malha,Médio,Alto,Alto
13.40-5-01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",Baixo,Alto,Alto
13.40-5-02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",Baixo,Alto,Alto
13.40-5-99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",Baixo,Médio,Alto
13.51-1-00,Fabricação de artefatos têxteis para uso doméstico,Médio,Alto,Alto
13.52-9-00,Fabricação de artefatos de tapeçaria,Médio,Alto,Alto
13.53-7-00,Fabricação de artefatos de cordoaria,Médio,Alto,Alto
13.54-5-00,"Fabricação de tecidos especiais, inclusive artefatos",Médio,Alto,Alto
13.59-6-00,Fabricação de outros produtos têxteis não especificados anteriormente,Médio,Alto,Alto
14.11-8-01,Confecção de roupas íntimas,Baixo,Médio,Alto
14.11-8-02,Facção de roupas íntimas,Baixo,Médio,Alto
14.12-6-01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",Baixo,Médio,Alto
14.12-6-02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",Baixo,Médio,Alto
14.12-6-03,"Facção de peças do vestuário, exceto roupas íntimas",Baixo,Médio,Alto
14.13-4-01,"Confecção de roupas profissionais, exceto sob medida",Baixo,Médio,Alto
14.13-4-02,"Confecção, sob medida, de roupas profissionais",Baixo,Médio,Alto
14.13-4-03,Facção de roupas profissionais,Baixo,Médio,Alto
14.14-2-00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",Médio,Alto,Alto
14.21-5-00,Fabricação de meias,Médio,Alto,Alto
14.22-3-00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",Médio,Alto,Alto
15.10-6-00,Curtimento e outras preparações de couro,Baixo,Médio,Alto
15.21-1-00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",Médio,Alto,Alto
15.29-7-00,Fabricação de artefatos de couro não especificados anteriormente,Médio,Alto,Alto
15.31-9-01,Fabricação de calçados de couro,Médio,Alto,Alto
15.31-9-02,Acabamento de calçados de couro sob contrato,Baixo,Médio,Alto
15.32-7-00,Fabricação de tênis de qualquer material,Médio,Alto,Alto
15.33-5-00,Fabricação de calçados de material sintético,Médio,Alto,Alto
15.39-4-00,Fabricação de calçados de materiais não especificados anteriormente,Médio,Alto,Alto
15.40-8-00,"Fabricação de partes para calçados, de qualquer material",Médio,Alto,Alto
16.10-2-03,Serrarias com desdobramento de madeira em bruto,Baixo,Médio,Alto
16.10-2-04,Serrarias sem desdobramento de madeira em bruto - Resseragem,Baixo,Médio,Alto
16.10-2-05,Serviço de tratamento de madeira realizado sob contrato,Médio,Médio,Alto
16.21-8-00,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",Médio,Alto,Alto
16.22-6-01,Fabricação de casas de madeira pré-fabricadas,Médio,Alto,Alto
16.22-6-02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,Médio,Alto,Alto
16.22-6-99,Fabricação de outros artigos de carpintaria para construção,Médio,Alto,Alto
16.23-4-00,Fabricação de artefatos de tanoaria e de embalagens de madeira,Médio,Alto,Alto
16.29-3-01,"Fabricação de artefatos diversos de madeira, exceto móveis",Médio,Alto,Alto
16.29-3-02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",Médio,Alto,Alto
17.10-9-00,Fabricação de celulose e outras pastas para a fabricação de papel,Alto,Alto,Alto
17.21-4-00,Fabricação de papel,Médio,Alto,Alto
17.22-2-00,Fabricação de cartolina e papel-cartão,Médio,Alto,Alto
17.31-1-00,Fabricação de embalagens de papel,Médio,Alto,Alto
17.32-0-00,Fabricação de embalagens de cartolina e papel-cartão,Médio,Alto,Alto
17.33-8-00,Fabricação de chapas e de embalagens de papelão ondulado,Médio,Alto,Alto
17.41-9-01,Fabricação de formulários contínuos,Médio,Alto,Alto
17.41-9-02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",Médio,Alto,Alto
17.42-7-01,Fabricação de fraldas descartáveis,Médio,Alto,Alto
17.42-7-02,Fabricação de absorventes higiênicos,Médio,Alto,Alto
17.42-7-99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,Médio,Alto,Alto
17.49-4-00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",Médio,Alto,Alto
18.11-3-01,Impressão de jornais,Baixo,Médio,Alto
18.11-3-02,"Impressão de livros, revistas e outras publicações periódicas",Baixo,Médio,Alto
18.12-1-00,Impressão de material de segurança,Baixo,Médio,Alto
18.13-0-01,Impressão de material para uso publicitário,Baixo,Médio,Alto
18.13-0-99,Impressão de material para outros usos,Baixo,Médio,Alto
18.21-1-00,Serviços de pré-impressão,Baixo,Médio,Alto
18.22-9-01,Serviços de encadernação e plastificação,Baixo,Médio,Alto
18.22-9-99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",Baixo,Médio,Alto
18.30-0-01,Reprodução de som em qualquer suporte,Baixo,Médio,Alto
18.30-0-02,Reprodução de vídeo em qualquer suporte,Baixo,Médio,Alto
18.30-0-03,Reprodução de software em qualquer suporte,Baixo,Médio,Alto
19.10-1-00,Coquerias,Alto,Alto,Alto
19.21-7-00,Fabricação de produtos do refino de petróleo,Alto,Alto,Alto
19.22-5-01,Formulação de combustíveis,Alto,Alto,Alto
19.22-5-02,Rerrefino de óleos lubrificantes,Alto,Alto,Alto
19.22-5-99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",Alto,Alto,Alto
19.31-4-00,Fabricação de álcool,Alto,Alto,Alto
19.32-2-00,"Fabricação de biocombustíveis, exceto álcool",Alto,Alto,Alto
20.11-8-00,Fabricação de cloro e álcalis,Alto,Alto,Alto
20.12-6-00,Fabricação de intermediários para fertilizantes,Alto,Alto,Alto
20.13-4-01,Fabricação de adubos e fertilizantes organo-minerais,Alto,Alto,Alto
20.13-4-02,"Fabricação de adubos e fertilizantes, exceto organo-minerais",Alto,Alto,Alto
20.14-2-00,Fabricação de gases industriais,Alto,Alto,Alto
20.19-3-01,Elaboração de combustíveis nucleares,Alto,Alto,Alto
20.19-3-99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,Alto,Alto,Alto
20.21-5-00,Fabricação de produtos petroquímicos básicos,Alto,Alto,Alto
20.22-3-00,"Fabricação de intermediários para plastificantes, resinas e fibras",Alto,Alto,Alto
20.29-1-00,Fabricação de produtos químicos orgânicos não especificados anteriormente,Alto,Alto,Alto
20.31-2-00,Fabricação de resinas termoplásticas,Alto,Alto,Alto
20.32-1-00,Fabricação de resinas termofixas,Alto,Alto,Alto
20.33-9-00,Fabricação de elastômeros,Alto,Alto,Alto
20.40-1-00,Fabricação de fibras artificiais e sintéticas,Alto,Alto,Alto
20.51-7-00,Fabricação de defensivos agrícolas,Alto,Alto,Alto
20.52-5-00,Fabricação de desinfestantes domissanitários,Alto,Alto,Alto
20.61-4-00,Fabricação de sabões e detergentes sintéticos,Alto,Alto,Alto
20.62-2-00,Fabricação de produtos de limpeza e polimento,Alto,Alto,Alto
20.63-1-00,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",Alto,Alto,Alto
20.71-1-00,"Fabricação de tintas, vernizes, esmaltes e lacas",Alto,Alto,Alto
20.72-0-00,Fabricação de tintas de impressão,Alto,Alto,Alto
20.73-8-00,"Fabricação de impermeabilizantes, solventes e produtos afins",Alto,Alto,Alto
20.91-6-00,Fabricação de adesivos e selantes,Alto,Alto,Alto
20.92-4-01,"Fabricação de pólvoras, explosivos e detonantes",Alto,Alto,Alto
20.92-4-02,Fabricação de artigos pirotécnicos,Alto,Alto,Alto
20.92-4-03,Fabricação de fósforos de segurança,Alto,Alto,Alto
20.93-2-00,Fabricação de aditivos de uso industrial,Alto,Alto,Alto
20.94-1-00,Fabricação de catalisadores,Alto,Alto,Alto
20.99-1-01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",Alto,Alto,Alto
20.99-1-99,Fabricação de outros produtos químicos não especificados anteriormente,Alto,Alto,Alto
21.10-6-00,Fabricação de produtos farmoquímicos,Médio,Alto,Alto
21.21-1-01,Fabricação de medicamentos alopáticos para uso humano,Médio,Alto,Alto
21.21-1-02,Fabricação de medicamentos homeopáticos para uso humano,Médio,Alto,Alto
21.21-1-03,Fabricação de medicamentos fitoterápicos para uso humano,Médio,Alto,Alto
21.22-0-00,Fabricação de medicamentos para uso veterinário,Médio,Alto,Alto
21.23-8-00,Fabricação de preparações farmacêuticas,Médio,Alto,Alto
22.11-1-00,Fabricação de pneumáticos e de câmaras-de-ar,Médio,Alto,Alto
22.12-9-00,Reforma de pneumáticos usados,Médio,Médio,Alto
22.19-6-00,Fabricação de artefatos de borracha não especificados anteriormente,Médio,Alto,Alto
22.21-8-00,Fabricação de laminados planos e tubulares de material plástico,Médio,Alto,Alto
22.22-6-00,Fabricação de embalagens de material plástico,Médio,Alto,Alto
22.23-4-00,Fabricação de tubos e acessórios de material plástico para uso na construção,Médio,Alto,Alto
22.29-3-01,Fabricação de artefatos de material plástico para uso pessoal e doméstico,Médio,Alto,Alto
