codigo,descricao,la,outros_documentos
03.21-3-04,Criação de peixes ornamentais em água salgada e salobra,Sim,-
03.21-3-99,Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,Sim,-
03.22-1-01,Criação de peixes em água doce,Sim,-
03.22-1-02,Criação de camarões em água doce,Sim,-
03.22-1-03,Criação de ostras e mexilhões em água doce,Sim,-
03.22-1-04,Criação de peixes ornamentais em água doce,Sim,-
03.22-1-05,Ranicultura,Sim,-
03.22-1-06,Criação de jacaré,Sim,-
03.22-1-99,Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,Sim,-
03.12-4-04,Atividades de apoio à pesca em água doce,Não,-
03.21-3-05,Atividades de apoio à aquicultura em água salgada e salobra,Não,-
03.22-1-07,Atividades de apoio à aquicultura em água doce,Não,-
05.00-3-01,Extração de carvão mineral,Sim,-
05.00-3-02,Beneficiamento de carvão mineral,Sim,-
06.00-0-01,Extração de petróleo e gás natural,Sim,-
06.00-0-02,Extração e beneficiamento de xisto,Sim,-
06.00-0-03,Extração e beneficiamento de areias betuminosas,Sim,-
07.10-3-01,Extração de minério de ferro,Sim,-
07.10-3-02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",Sim,-
07.21-9-01,Extração de minério de alumínio,Sim,-
07.21-9-02,Beneficiamento de minério de alumínio,Sim,-
07.22-7-01,Extração de minério de estanho,Sim,-
07.22-7-02,Beneficiamento de minério de estanho,Sim,-
07.23-5-01,Extração de minério de manganês,Sim,-
07.23-5-02,Beneficiamento de minério de manganês,Sim,-
07.24-3-01,Extração de minério de metais preciosos,Sim,-
07.24-3-02,Beneficiamento de minério de metais preciosos,Sim,-
07.25-1-00,Extração de minerais radioativos,Sim,-
07.29-4-01,Extração de minérios de nióbio e titânio,Sim,-
07.29-4-02,Extração de minério de tungstênio,Sim,-
07.29-4-03,Extração de minério de níquel,Sim,-
07.29-4-04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",Sim,-
07.29-4-05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",Sim,-
08.10-0-01,Extração de ardósia e beneficiamento associado,Sim,-
08.10-0-02,Extração de granito e beneficiamento associado,Sim,-
08.10-0-03,Extração de mármore e beneficiamento associado,Sim,-
08.10-0-04,Extração de calcário e dolomita e beneficiamento associado,Sim,-
08.10-0-05,Extração de gesso e caulim,Sim,-
08.10-0-06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",Sim,-
08.10-0-07,Extração de argila e beneficiamento associado,Sim,-
08.10-0-08,Extração de saibro e beneficiamento associado,Sim,-
08.10-0-09,Extração de bas e beneficiamento associado,Sim,-
08.10-0-10,Beneficiamento de gesso e caulim associado à extração,Sim,-
08.10-0-99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,Sim,-
08.91-6-00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",Sim,Atestado CBSM ocupação industrial
08.92-4-01,Extração de sal marinho,Sim,-
08.92-4-02,Extração de sal-gema,Sim,-
08.92-4-03,Refino e outros tratamentos do sal,Sim,-
08.93-2-00,Extração de gemas (pedras preciosas e semipreciosas),Sim,-
08.99-1-01,Extração de grafita,Sim,-
08.99-1-02,Extração de quartzo,Sim,-
08.99-1-03,Extração de amianto,Sim,-
08.99-1-99,Extração de outros minerais não metálicos não especificados anteriormente,Sim,-
09.10-6-00,Atividades de apoio à extração de petróleo e gás natural,Não,-
09.90-4-01,Atividades de apoio à extração de minério de ferro,Não,-
09.90-4-02,Atividades de apoio à extração de minerais metálicos não ferrosos,Não,-
09.90-4-03,Atividades de apoio à extração de minerais não metálicos,Não,-
10.11-2-01,Frigorífico - abate de bovinos,Sim,-
10.11-2-02,Frigorífico - abate de equinos,Sim,-
10.11-2-03,Frigorífico - abate de ovinos e caprinos,Sim,-
10.11-2-04,Frigorífico - abate de bufalinos,Sim,-
10.11-2-05,"Matadouro - abate de reses sob contrato, exceto abate de suínos",Sim,-
10.12-1-01,Abate de aves,Sim,-
10.12-1-02,Abate de pequenos animais,Sim,-
10.12-1-03,Frigorífico - abate de suínos,Sim,-
10.12-1-04,Matadouro - abate de suínos sob contrato,Sim,-
10.99-6-04,Fabricação de gelo comum,Sim,Atestado CBSM ocupação industrial
10.13-9-01,Fabricação de produtos de carne,Sim,Atestado CBSM ocupação industrial
10.20-1-01,"Preservação de peixes, crustáceos e moluscos",Sim,-
10.20-1-02,"Fabricação de conservas de peixes, crustáceos e moluscos",Sim,Atestado CBSM ocupação industrial
10.31-7-00,Fabricação de conservas de frutas,Sim,Atestado CBSM ocupação industrial
10.32-5-01,Fabricação de conservas de palmito,Sim,Atestado CBSM ocupação industrial
10.32-5-99,"Fabricação de conservas de legumes e outros vegetais, exceto palmito",Sim,Atestado CBSM ocupação industrial
10.33-3-01,"Fabricação de sucos concentrados de frutas, hortaliças e legumes",Sim,Atestado CBSM ocupação industrial
10.33-3-02,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",Sim,Atestado CBSM ocupação industrial
10.41-4-00,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",Sim,Atestado CBSM ocupação industrial
10.42-2-00,"Fabricação de óleos vegetais refinados, exceto óleo de milho",Sim,Atestado CBSM ocupação industrial
10.43-1-00,Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,Sim,Atestado CBSM ocupação industrial
10.52-0-00,Fabricação de laticínios,Sim,Atestado CBSM ocupação industrial
10.53-8-00,Fabricação de sorvetes e outros gelados comestíveis,Sim,Atestado CBSM ocupação industrial
10.61-9-02,Fabricação de produtos do arroz,Sim,Atestado CBSM ocupação industrial
10.63-5-00,Fabricação de farinha de mandioca e derivados,Sim,Atestado CBSM ocupação industrial
10.64-3-00,"Fabricação de farinha de milho e derivados, exceto óleos de milho",Sim,Atestado CBSM ocupação industrial
10.65-1-01,Fabricação de amidos e féculas de vegetais,Sim,Atestado CBSM ocupação industrial
10.65-1-02,Fabricação de óleo de milho em bruto,Sim,Atestado CBSM ocupação industrial
10.65-1-03,Fabricação de óleo de milho refinado,Sim,Atestado CBSM ocupação industrial
10.66-0-00,Fabricação de alimentos para animais,Sim,Atestado CBSM ocupação industrial
10.71-6-00,Fabricação de açúcar em bruto,Sim,Atestado CBSM ocupação industrial
10.72-4-01,Fabricação de açúcar de cana refinado,Sim,Atestado CBSM ocupação industrial
10.72-4-02,Fabricação de açúcar de cereais (dextrose) e de beterraba,Sim,Atestado CBSM ocupação industrial
10.82-1-00,Fabricação de produtos à base de café,Sim,Atestado CBSM ocupação industrial
10.91-1-01,Fabricação de produtos de panificação industrial,Sim,Atestado CBSM ocupação industrial
10.91-1-02,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Sim,Atestado CBSM ocupação industrial
10.92-9-00,Fabricação de biscoitos e bolachas,Sim,Atestado CBSM ocupação industrial
10.93-7-01,Fabricação de produtos derivados do cacau e de chocolates,Sim,Atestado CBSM ocupação industrial
10.93-7-02,"Fabricação de frutas cristalizadas, balas e semelhantes",Sim,Atestado CBSM ocupação industrial
10.94-5-00,Fabricação de massas alimentícias,Sim,Atestado CBSM ocupação industrial
10.95-3-00,"Fabricação de especiarias, molhos, temperos e condimentos",Sim,Atestado CBSM ocupação industrial
10.96-1-00,Fabricação de alimentos e pratos prontos,Sim,Atestado CBSM ocupação industrial
10.99-6-01,Fabricação de vinagres,Sim,Atestado CBSM ocupação industrial
10.99-6-02,Fabricação de pós-alimentícios,Sim,Atestado CBSM ocupação industrial
10.99-6-03,Fabricação de fermentos e leveduras,Sim,Atestado CBSM ocupação industrial
10.99-6-05,"Fabricação de produtos para infusão (chá, mate, etc.)",Sim,Atestado CBSM ocupação industrial
10.99-6-06,Fabricação de adoçantes naturais e artificiais,Sim,Atestado CBSM ocupação industrial
10.99-6-07,Fabricação de alimentos dietéticos e complementos alimentares,Sim,Atestado CBSM ocupação industrial
10.99-6-99,Fabricação de outros produtos alimentícios não especificados anteriormente,Sim,Atestado CBSM ocupação industrial
10.13-9-02,Preparação de subprodutos do abate,Sim,-
10.51-1-00,Preparação do leite,Sim,-
10.61-9-01,Beneficiamento de arroz,Sim,-
10.62-7-00,Moagem de trigo e fabricação de derivados,Sim,Atestado CBSM ocupação industrial
10.69-4-00,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,Sim,Atestado CBSM ocupação industrial
10.81-3-01,Beneficiamento de café,Sim,-
10.81-3-02,Torrefação e moagem de café,Sim,-
11.11-9-01,Fabricação de aguardente de cana-de-açúcar,Sim,Atestado CBSM ocupação industrial
11.11-9-02,Fabricação de outras aguardentes e bebidas destiladas,Sim,Atestado CBSM ocupação industrial
11.12-7-00,Fabricação de vinho,Sim,Atestado CBSM ocupação industrial
11.13-5-01,"Fabricação de malte, inclusive malte uísque",Sim,Atestado CBSM ocupação industrial
11.13-5-02,Fabricação de cervejas e chopes,Sim,Atestado CBSM ocupação industrial
11.21-6-00,Fabricação de águas envasadas,Sim,Atestado CBSM ocupação industrial
11.22-4-01,Fabricação de refrigerantes,Sim,Atestado CBSM ocupação industrial
11.22-4-02,Fabricação de chá mate e outros chás prontos para consumo,Sim,Atestado CBSM ocupação industrial
11.22-4-03,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",Sim,Atestado CBSM ocupação industrial
11.22-4-04,Fabricação de bebidas isotônicas,Sim,Atestado CBSM ocupação industrial
11.22-4-99,Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,Sim,Atestado CBSM ocupação industrial
12.10-7-00,Processamento industrial do fumo,Sim,-
12.20-4-01,Fabricação de cigarros,Sim,Atestado CBSM ocupação industrial
12.20-4-02,Fabricação de cigarrilhas e charutos,Sim,Atestado CBSM ocupação industrial
12.20-4-03,Fabricação de filtros para cigarros,Sim,Atestado CBSM ocupação industrial
12.20-4-99,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",Sim,Atestado CBSM ocupação industrial
13.11-1-00,Preparação e fiação de fibras de algodão,Sim,-
13.12-0-00,"Preparação e fiação de fibras têxteis naturais, exceto algodão",Sim,-
13.40-5-01,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",Sim,-
13.40-5-02,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",Sim,-
13.13-8-00,Fiação de fibras artificiais e sintéticas,Sim,-
13.21-9-00,Tecelagem de fios de algodão,Sim,-
13.22-7-00,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",Sim,-
13.23-5-00,Tecelagem de fios de fibras artificiais e sintéticas,Sim,-
13.40-5-99,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",Sim,-
13.14-6-00,Fabricação de linhas para costurar e bordar,Sim,Atestado CBSM ocupação industrial
13.30-8-00,Fabricação de tecidos de malha,Sim,Atestado CBSM ocupação industrial
13.51-1-00,Fabricação de artefatos têxteis para uso doméstico,Sim,Atestado CBSM ocupação industrial
13.52-9-00,Fabricação de artefatos de tapeçaria,Sim,Atestado CBSM ocupação industrial
13.53-7-00,Fabricação de artefatos de cordoaria,Sim,Atestado CBSM ocupação industrial
13.54-5-00,"Fabricação de tecidos especiais, inclusive artefatos",Sim,Atestado CBSM ocupação industrial
13.59-6-00,Fabricação de outros produtos têxteis não especificados anteriormente,Sim,Atestado CBSM ocupação industrial
14.11-8-01,Confecção de roupas íntimas,Sim,-
14.11-8-02,Facção de roupas íntimas,Sim,-
14.12-6-01,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",Sim,-
14.12-6-02,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",Sim,-
14.12-6-03,"Facção de peças do vestuário, exceto roupas íntimas",Sim,-
14.13-4-01,"Confecção de roupas profissionais, exceto sob medida",Sim,-
14.13-4-02,"Confecção, sob medida, de roupas profissionais",Sim,-
14.13-4-03,Facção de roupas profissionais,Sim,-
14.14-2-00,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",Sim,Atestado CBSM ocupação industrial
14.21-5-00,Fabricação de meias,Sim,Atestado CBSM ocupação industrial
14.22-3-00,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",Sim,Atestado CBSM ocupação industrial
15.10-6-00,Curtimento e outras preparações de couro,Sim,-
15.31-9-02,Acabamento de calçados de couro sob contrato,Sim,-
15.21-1-00,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",Sim,Atestado CBSM ocupação industrial
15.29-7-00,Fabricação de artefatos de couro não especificados anteriormente,Sim,Atestado CBSM ocupação industrial
15.31-9-01,Fabricação de calçados de couro,Sim,Atestado CBSM ocupação industrial
15.32-7-00,Fabricação de tênis de qualquer material,Sim,Atestado CBSM ocupação industrial
15.33-5-00,Fabricação de calçados de material sintético,Sim,Atestado CBSM ocupação industrial
15.39-4-00,Fabricação de calçados de materiais não especificados anteriormente,Sim,Atestado CBSM ocupação industrial
15.40-8-00,"Fabricação de partes para calçados, de qualquer material",Sim,Atestado CBSM ocupação industrial
16.10-2-03,Serrarias com desdobramento de madeira em bruto,Sim,-
16.10-2-04,Serrarias sem desdobramento de madeira em bruto - Resseragem,Sim,-
16.10-2-05,Serviço de tratamento de madeira realizado sob contrato,Sim,-
16.21-8-00,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",Sim,Atestado CBSM ocupação industrial
16.22-6-01,Fabricação de casas de madeira pré-fabricadas,Sim,Atestado CBSM ocupação industrial
16.22-6-02,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,Sim,Atestado CBSM ocupação industrial
16.22-6-99,Fabricação de outros artigos de carpintaria para construção,Sim,Atestado CBSM ocupação industrial
16.23-4-00,Fabricação de artefatos de tanoaria e de embalagens de madeira,Sim,Atestado CBSM ocupação industrial
16.29-3-01,"Fabricação de artefatos diversos de madeira, exceto móveis",Sim,Atestado CBSM ocupação industrial
16.29-3-02,"Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",Sim,Atestado CBSM ocupação industrial
17.10-9-00,Fabricação de celulose e outras pastas para a fabricação de papel,Sim,Atestado CBSM ocupação industrial
17.21-4-00,Fabricação de papel,Sim,Atestado CBSM ocupação industrial
17.22-2-00,Fabricação de cartolina e papel-cartão,Sim,Atestado CBSM ocupação industrial
17.31-1-00,Fabricação de embalagens de papel,Sim,Atestado CBSM ocupação industrial
17.32-0-00,Fabricação de embalagens de cartolina e papel-cartão,Sim,Atestado CBSM ocupação industrial
17.33-8-00,Fabricação de chapas e de embalagens de papelão ondulado,Sim,Atestado CBSM ocupação industrial
17.41-9-01,Fabricação de formulários contínuos,Sim,Atestado CBSM ocupação industrial
17.41-9-02,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",Sim,Atestado CBSM ocupação industrial
17.42-7-01,Fabricação de fraldas descartáveis,Sim,Atestado CBSM ocupação industrial
17.42-7-02,Fabricação de absorventes higiênicos,Sim,Atestado CBSM ocupação industrial
17.42-7-99,Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente,Sim,Atestado CBSM ocupação industrial
17.49-4-00,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",Sim,Atestado CBSM ocupação industrial
18.11-3-01,Impressão de jornais,Não,-
18.11-3-02,"Impressão de livros, revistas e outras publicações periódicas",Não,-
18.12-1-00,Impressão de material de segurança,Não,-
18.13-0-01,Impressão de material para uso publicitário,Não,-
18.13-0-99,Impressão de material para outros usos,Não,-
18.21-1-00,Serviços de pré-impressão,Não,-
18.22-9-01,Serviços de encadernação e plastificação,Não,-
18.22-9-99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",Não,-
18.30-0-01,Reprodução de som em qualquer suporte,Não,-
18.30-0-02,Reprodução de vídeo em qualquer suporte,Não,-
18.30-0-03,Reprodução de software em qualquer suporte,Não,-
19.10-1-00,Coquerias,Sim,-
19.21-7-00,Fabricação de produtos do refino de petróleo,Sim,Atestado CBSM ocupação industrial
19.22-5-01,Formulação de combustíveis,Sim,-
19.22-5-02,Rerrefino de óleos lubrificantes,Sim,-
19.22-5-99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino",Sim,Atestado CBSM ocupação industrial
19.31-4-00,Fabricação de álcool,Sim,Atestado CBSM ocupação industrial
19.32-2-00,"Fabricação de biocombustíveis, exceto álcool",Sim,Atestado CBSM ocupação industrial
20.11-8-00,Fabricação de cloro e álcalis,Sim,Atestado CBSM ocupação industrial
20.12-6-00,Fabricação de intermediários para fertilizantes,Sim,Atestado CBSM ocupação industrial
20.13-4-01,Fabricação de adubos e fertilizantes organo-minerais,Sim,Atestado CBSM ocupação industrial
20.13-4-02,"Fabricação de adubos e fertilizantes, exceto organo-minerais",Sim,Atestado CBSM ocupação industrial
20.14-2-00,Fabricação de gases industriais,Sim,Atestado CBSM ocupação industrial
20.19-3-01,Elaboração de combustíveis nucleares,Sim,-
20.19-3-99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,Sim,Atestado CBSM ocupação industrial
20.21-5-00,Fabricação de produtos petroquímicos básicos,Sim,Atestado CBSM ocupação industrial
20.22-3-00,"Fabricação de intermediários para plastificantes, resinas e fibras",Sim,Atestado CBSM ocupação industrial
20.29-1-00,Fabricação de produtos químicos orgânicos não especificados anteriormente,Sim,Atestado CBSM ocupação industrial
20.31-2-00,Fabricação de resinas termoplásticas,Sim,Atestado CBSM ocupação industrial
20.32-1-00,Fabricação de resinas termofixas,Sim,Atestado CBSM ocupação industrial
20.33-9-00,Fabricação de elastômeros,Sim,Atestado CBSM ocupação industrial
20.40-1-00,Fabricação de fibras artificiais e sintéticas,Sim,Atestado CBSM ocupação industrial
20.51-7-00,Fabricação de defensivos agrícolas,Sim,Atestado CBSM ocupação industrial
20.52-5-00,Fabricação de desinfestantes domissanitários,Sim,Atestado CBSM ocupação industrial
20.61-4-00,Fabricação de sabões e detergentes sintéticos,Sim,Atestado CBSM ocupação industrial
20.62-2-00,Fabricação de produtos de limpeza e polimento,Sim,Atestado CBSM ocupação industrial
20.63-1-00,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",Sim,Atestado CBSM ocupação industrial
20.71-1-00,"Fabricação de tintas, vernizes, esmaltes e lacas",Sim,Atestado CBSM ocupação industrial
20.72-0-00,Fabricação de tintas de impressão,Sim,Atestado CBSM ocupação industrial
20.73-8-00,"Fabricação de impermeabilizantes, solventes e produtos afins",Sim,Atestado CBSM ocupação industrial
20.91-6-00,Fabricação de adesivos e selantes,Sim,Atestado CBSM ocupação industrial
20.92-4-01,"Fabricação de pólvoras, explosivos e detonantes",Sim,Atestado CBSM ocupação industrial
20.92-4-02,Fabricação de artigos pirotécnicos,Sim,Atestado CBSM ocupação industrial
20.92-4-03,Fabricação de fósforos de segurança,Sim,Atestado CBSM ocupação industrial
20.93-2-00,Fabricação de aditivos de uso industrial,Sim,Atestado CBSM ocupação industrial
20.94-1-00,Fabricação de catalisadores,Sim,Atestado CBSM ocupação industrial
20.99-1-01,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",Sim,Atestado CBSM ocupação industrial
20.99-1-99,Fabricação de outros produtos químicos não especificados anteriormente,Sim,Atestado CBSM ocupação industrial
21.10-6-00,Fabricação de produtos farmoquímicos,Sim,Atestado CBSM ocupação industrial
21.21-1-01,Fabricação de medicamentos alopáticos para uso humano,Sim,Atestado CBSM ocupação industrial
21.21-1-02,Fabricação de medicamentos homeopáticos para uso humano,Sim,Atestado CBSM ocupação industrial
21.21-1-03,Fabricação de medicamentos fitoterápicos para uso humano,Sim,Atestado CBSM ocupação industrial
21.22-0-00,Fabricação de medicamentos para uso veterinário,Sim,Atestado CBSM ocupação industrial
21.23-8-00,Fabricação de preparações farmacêuticas,Sim,Atestado CBSM ocupação industrial
22.11-1-00,Fabricação de pneumáticos e de câmaras-de-ar,Sim,Atestado CBSM ocupação industrial
22.19-6-00,Fabricação de artefatos de borracha não especificados  anteriormente,Sim,Atestado CBSM ocupação industrial
22.21-8-00,Fabricação de laminados planos e tubulares de material plástico,Sim,Atestado CBSM ocupação industrial
22.22-6-00,Fabricação de embalagens de material plástico,Sim,Atestado CBSM ocupação industrial
22.23-4-00,Fabricação de tubos e acessórios de material plástico para uso na construção,Sim,Atestado CBSM ocupação industrial
22.29-3-01,Fabricação de artefatos de material plástico para uso pessoal e doméstico,Sim,Atestado CBSM ocupação industrial
22.29-3-02,Fabricação de artefatos de material plástico para usos industriais,Sim,Atestado CBSM ocupação industrial
22.29-3-03,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",Sim,Atestado CBSM ocupação industrial
22.29-3-99,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,Sim,Atestado CBSM ocupação industrial
22.12-9-00,Reforma de pneumáticos usados,Sim,-
23.11-7-00,Fabricação de vidro plano e de segurança,Sim,Atestado CBSM ocupação industrial
23.12-5-00,Fabricação de embalagens de vidro,Sim,Atestado CBSM ocupação industrial
23.19-2-00,Fabricação de artigos de vidro,Sim,Atestado CBSM ocupação industrial
23.30-3-01,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",Sim,Atestado CBSM ocupação industrial
